,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist,$64K-$106K (Glassdoor est.),"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,"ManTech
4.2","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),-1
1,Healthcare Data Scientist,$64K-$106K (Glassdoor est.),"What You Will Do:

I. General Summary

The Healthcare Data Scientist position will join our Advanced Analytics group at the University of Maryland Medical System (UMMS) in support of its strategic priority to become a data-driven and outcomes-oriented organization. The successful candidate will have 3+ years of experience with Machine Learning, Predictive Modeling, Statistical Analysis, Mathematical Optimization, Algorithm Development and a passion for working with healthcare data. Previous experience with various computational approaches along with an ability to demonstrate a portfolio of relevant prior projects is essential. This position will report to the UMMS Vice President for Enterprise Data and Analytics (ED&A).

II. Principal Responsibilities and Tasks

• Develops predictive and prescriptive analytic models in support of the organization’s clinical, operations and business initiatives and priorities.
• Deploys solutions so that they provide actionable insights to the organization and are embedded or integrated with application systems
• Supports and drives analytic efforts designed around organization’s strategic priorities and clinical/business problems
• Works in a team to drive disruptive innovation, which may translate into improved quality of care, clinical outcomes, reduced costs, temporal efficiencies and process improvements.
• Builds and extends our analytics portfolio supported by robust documentation
• Works with autonomy to find solutions to complex problems using open source tools and in-house development
• Stays abreast of state-of-the-art literature in the fields of operations research, statistical modeling, statistical process control and mathematical optimization
• Creates, communicates, and manages the project plans and other required project documentation and provides updates to leadership as necessary
• Develops and maintains relationships with business, IT and clinical leaders and stakeholders across the enterprise to facilitate collaboration and effective communication
• Works with the analytics team and clinical/business stakeholders to develop pilots so that they may be tested and validated in pilot settings
• Performs analysis to evaluate primary and secondary objectives from such pilots
• Assists leadership with strategies for scaling successful projects across the organization and enhances the analytics applications based on feedback from end-users and clinical/business consumers
• Assists leadership with dissemination of success stories (and failures) in an effort to increase analytics literacy and adoption across the organization.

What You Need to Be Successful:

III. Education and Experience

• Master’s or higher degree (may be substituted by relevant work experience) in applied mathematics, physics, computer science, engineering, statistics or a related field
• 3+ years of Mathematical Optimization, Machine Learning, Predictive Analytics and Algorithm Development experience (experience with tools such as WEKA, RapidMiner, R. Python or other open source tools strongly desired)
• Strong development skills in two or more of the following: C/C++, C#, Python, Java
• Combining analytic methods with advanced data visualizations
• Expert ability to breakdown and clearly define problems
• Experience with Natural Language Processing preferred

IV. Knowledge, Skills and Abilities

• Proven communications skills – Effective at working independently and in collaboration with other staff members. Capable of clearly presenting findings orally, in writing, or through graphics.
• Proven analytical skills – Able to compare, contrast, and validate work with keen attention to detail. Skilled in working with “real world” data including scrubbing, transformation, and imputation.
• Proven problem solving skills – Able to plan work, set clear direction, and coordinate own tasks in a fast-paced multidisciplinary environment. Expert at triaging issues, identifying data anomalies, and debugging software.
• Design and prototype new application functionality for our products.
• Change oriented – actively generates process improvements; supports and drives change, and confronts difficult circumstances in creative ways
• Effective communicator and change agent
• Ability to prioritize the tasks of the project timeline to achieve the desired results
• Strong analytic and problem solving skills
• Ability to cooperatively and effectively work with people from various organization levels

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",3.4,"University of Maryland Medical System
3.4","Linthicum, MD","Baltimore, MD",10000+ employees,1984,Other Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD),-1
2,Wi-Fi Senior Data Scientist,$64K-$106K (Glassdoor est.),"Job summary

Join a small, highly skilled data science team using state of the art machine learning and data analysis to improve Wi-Fi networking. This position offers the unique opportunity to apply data science to a new area (wireless networking) which itself is deep and scientific. We are engaged in solving difficult problems in prediction, optimization, clustering, and anomaly detection.

The data is huge in scale, encompassing measurements from millions of users worldwide at time granularity of seconds. And, your work will improve the performance of consumer products that your friends are buying!

Responsibilities
Utilize machine learning techniques to develop
Predictive models of network parameters such as load and interference
Networking anomaly detection
Client behavior classification
Predicting customer satisfaction and behaviors
Deriving estimates of load, capacity, link rates, etc. from noisy raw measurements
Develop data analysis and dashboards to represent the network statistics we are gathering
Specifying tools and data pipelines to enable data analysis and machine learning
Qualifications (Must)
Bachelor's degree or higher in Electrical Engineering, Computer Science, or Statistics
At least three years of experience applying data science to networking or wireless communications is required for this position. This could be work experience, or experience while performing research in a Ph.D. academic program.
Strong ability in Python, SQL, or Scala, good coding skills
Experience working with large databases, high volume data
Familiarity with concepts from statistics
Experience with and fundamental understanding of machine learning techniques
Experience Desired
Experience estimating processing and communications requirements for various data pipelines/learning systems
Experience with a range of data analysis techniques: linear regression, random forest, clustering, factor analysis, NLP techniques, supervised and unsupervised learning,, graph algorithms, etc.
Knowledge of networking protocols such as UDP/TCP behaviors,
Understanding of wireless parameters such as RSSI, MIMO, OFDMA, etc.",4.1,"Plume
4.1","Palo Alto, CA","Palo Alto, CA",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
3,Associate Data Scientist,$64K-$106K (Glassdoor est.),"Minimum Qualifications
Bachelors degree in mathematics, statistics, computer science, or a related field or equivalent experience
Preferred Qualifications
1 year of experience working with large data sets
1 year of experience with statistical and data mining tools and methods
1 year of experience with statistical packages, such as R or SAS
1 year of experience working with big data in a Hadoop environment
1 year of experience with linear models (linear regression, generalized linear regression and logistic regression) and non-linear modeling techniques (decision trees, smoothing methods and ensemble methods)
1 year of experience providing predictive and prescriptive analytics in a business setting
1 year of experience working with SQL or other query languages
Masters degree in mathematics, statistics, computer science or a related field
Proficiency in the Microsoft Office suite
SQL knowledge
Fluency in at least one scripting language
Knowledge of statistical methodologies for modeling and business analytics
Knowledge of analysis tools (e.g., R, SAS and Weka)
Job Summary

The Associate Data Scientist performs data mining, predictive modeling and forecasting to provide actionable insights and strategic direction for business leaders. This team member delves into the recesses of large data sets of structured, semi-structured and unstructured data to discover hidden knowledge about our business and develop methods to leverage that knowledge within our line of business.

Responsibilities
Develop predictive and prescriptive statistical or behavioral models from large sets of structured and unstructured data
Identify methods that allow continuous and automated statistical testing to enhance the predictability of deployed model
Communicate results to clients, team members and business leaders
Work with team members to collect data for ad hoc and statistical analysis

Who We Are

We're America's largest mortgage lender, closing loans in all 50 states. J.D. Power ranked Quicken Loans ""Highest in Customer Satisfaction in Primary Mortgage Origination"" for the past 10 consecutive years, 2010 - 2019. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for 6 consecutive years, 2014 through 2019, each year the company was eligible. There's a simple reason we've been so successful: We care about the people we work with.

If you're tired of stuffy, bureaucratic workplaces, then you'll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply won't find anywhere else. Quicken Loans was named #1 in ESSENCE Magazine's first ever list of ""Best Places to Work for African Americans"" in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last 5 years. We were also ranked #14 in FORTUNE Magazine's list of ""100 Best Companies to Work For"" in 2018, remaining in the top 30 for the past 15 years.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.9,"Quicken Loans
3.9","Detroit, MI","Detroit, MI",10000+ employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),"Citi, Bank of America, Wells Fargo"
4,Senior Data Scientist,$64K-$106K (Glassdoor est.),"About Us

At GutCheck, we pioneered agile market research to provide our clients with actionable insights at the speed of their business. As the marketplace rapidly evolves, we're evolving with it. By combining qualitative, quantitative, and behavioral methodologies, our team of full-service research experts synthesizes insights to help clients make more confident business decisions -- connecting them with their target consumers earlier and more often in the development process.

What Makes Our Approach Different

We create heroes out of our clients by providing them with contextualized insights to more efficiently and effectively connect with their target audiences. Enabled by technology and automation, we are dedicated partners who take a human-first approach to delivering powerful insights. Today, we are bringing agile to strategy: enabling brands to gather robust foundational insights in an agile, iterative way to inform key business within the demands of today's innovation timelines.

Here's where you come in:

As our Senior Data Scientist, you will be the primary contributor that will operationalize predictive models built with machine learning and advanced analytic technologies. GutCheck owns years of structured and unstructured data. We've started to identify patterns in our world-class market research using machine learning technologies such as TensorFlow. You will help us by providing expertise on mathematical concepts for the broader cross-functional analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization.

You will work closely with our talented and agile Product and Engineering teams to craft scalable, well-designed solutions that address the technical and architectural challenges inherent to making sense of our data. We have a focus on quality, automation, and innovation. We encourage our Engineers to think creatively and flexibly when choosing solutions, tools, and techniques. Our team offers an environment where trust and innovation are encouraged, egos aren't accepted, and collaboration is core to our DNA.

You will advocate, evangelize and build data-fueled products that help our internal and external customers gain deeper insights into direct, targeted consumer feedback. This data can and will be coupled with third-party data sources to help our clients be heroes by making well informed business decisions. You'll help research and choose which data sources will provide unique and compelling insights, and then you'll dig in and become an expert on that data. You will provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables.

For more information on the company and the GutCheck team, please go to www.gutcheckit.com

This job description is not a complete list of your qualifications or position roles. GutCheck is proud to be an equal opportunity employer. We are committed to equal opportunity regardless of race, color, ancestry, religion, gender, gender identity, genetic information, parental or pregnancy status, national origin, sexual orientation, age, citizenship, marital status, disability, or Veteran status.",3.8,"GutCheck
3.8","Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
5,"Risk and Analytics IT, Data Scientist",$64K-$106K (Glassdoor est.),"OUR AGENCY

Making a Difference

SWIB is a trusted and skilled global investment organization managing the assets of the Wisconsin Retirement System (WRS) and other separately managed funds. With about $129 billion in total assets under management, SWIB has been recognized by the investment industry for its teamwork and innovation that helps make it a premier asset manager. Sophisticated investment management strategies, forward-looking technologies, and strong internal asset management make SWIB a leading investment organization.

For public employees in Wisconsin, SWIB is a unique and valuable partner. Investing for the financial security of more than 635,000 individuals and for the 1,500 Wisconsin employers who contribute on behalf of their employees SWIBs strong management of the WRS has helped fuel one of only a few fully funded public pension funds in the country. SWIBs long-term investment returns meet the challenges of a constantly evolving investment landscape while helping grow and protect the assets of the WRS, the 8th largest public pension fund in the U.S. and 25th largest public or private pension fund in the world.

We are a mission driven organization and the participants we serve are our mission. By bringing a disciplined, prudent and innovative approach to market opportunities, SWIB has been successful in generating respectable returns and maintaining the trust of the beneficiaries and stakeholders of the funds we oversee.

Join HIGHER PERFORMERS

Home to Top Talent

SWIB has long been recognized as an investment leader because of its success in maintaining the WRS and for the highly-qualified staff overseeing the retirement trust funds. SWIBs internal team invests a majority of its assets under management. This means SWIB is committed to investing in professionals that will keep the organization at the forefront of the investment industry. As an innovative organization, SWIB offers professional development opportunities that enable staff to grow and develop. Approximately 61 percent of SWIBs investment professionals are Chartered Financial Analyst (CFA) charterholders.

About the Team

Partner with, build, maintain, enhance and manage the data and technology for the Asset and Risk Allocation (ARA) division which is responsible for the overall investment structure of the Core and Variable Trust Funds. ARA recommends and implements the asset allocation for the policy portfolio, recommends and implements the active risk budget, and is responsible for overall risk monitoring and management. The Risk and Analytics IT department primarily partners with the Asset & Risk Allocation team as well as work with other internal divisions. There will be opportunities to apply skills in both technology and finance.

This role offers a unique opportunity to learn and contribute to the technology and the business through technology.

Essential activities:
Creating reporting, decisioning systems or outputs, performing rapid analysis on data issues, and instrumenting the system with data quality rules to proactively catch and prevent issues, creating enriched and enhanced datasets with advanced data manipulation and modeling skills, use of primarily Oracle, SQL Server, Snowflake, Python, delivering risk, return, cost metrics and partner with various internal departments to improve the overall state of technology and operations, architecting, developing, testing, documenting and supporting software and technical solutions for the SWIB ARA team as well as other teams, assess and revisit inventory business logic, calculations and reporting, leveraging SQL, Python and communication skills in various avenues, instrument data quality rules and metrics in the system.

Technical Skills:
Oracle SQL, SQL Server
Snowflake (or some equivalent datastore tool)
Python experience
JIRA and Confluence
Alteryx (or some equivalent ETL tool such as Informatica)
PowerBI (or some equivalent BI tool such as Tableau)
Data Skills:
SQL development
ETL (Extract Transform load) exposure
Python experience
Financial Knowledge recommended but candidates in other industries highly recommended to apply:
Understanding of multi-asset products is desirable
Comprehensions of risk, return and cost metrics in industry is desirable
Exposure to the investment management lifecycle is desirable
The ideal candidate:
5-10 years experience in data analytics, data science, or related fields
Bachelor's degree or advanced degree in finance, quantitative finance, or another related field
Ability to take various questions gathered from the business leveraging existing data as well as improving upon that data to deliver complete, consistent and precise answers
Experience in working with/understanding the various lifecycles of data management, extraction, loading, transformation to its applications in analysis, research and solving problems
Extensive knowledge in composing Oracle SQL, SQL Server queries, data modeling, and having a SQL and analytics background
Experience in identifying use cases for the business, contributing to analysis and understanding of existing data models with iterative recommendations on improvement resulting in some improvement in risk, return or cost for the organization
Extensive knowledge of data extraction, transformation and loading
Experience refactoring SQL queries, use of Python
Experience working with large structured and financial data sets
Ability to follow rigor in creating/updating documentation, maintain process (i.e. JIRA tickets) and following technology and business best practices
Ability to present and communicate well and connect business and technology
Ability to tactically understand results in context (i.e. when does something look wrong), and strategically how to resolve those issues via data quality and rule-based instrumentation
Interest in newer data technologies, Snowflake programming, i.e. Python
Interest or experience in investment management, quantitative finance and technology
Background in Agile methodologies and their applications
SWIB Offers:
Competitive McLagan-base salary
Meaningful performance-based incentive compensation
A comprehensive benefit package
Educational and training opportunities
Tuition reimbursement
Challenging work in a professional environment
The position requires U.S. work authorization and residency in, or willingness to relocate to the Madison, Wisconsin area. SWIB is prepared to offer relocation assistance as needed.",2.9,"State of Wisconsin Investment Board
2.9","Madison, WI","Madison, WI",51 to 200 employees,1951,Government,Investment Banking & Asset Management,Finance,$50 to $100 million (USD),-1
6,"Data Scientist - Statistics, Early Career",$64K-$106K (Glassdoor est.),"*Organization and Job ID**
Job ID: 310918

Directorate: National Security Directorate

Division: Computing & Analytics

Group: Applied Statistics & Computational Modeling
*Job Description**
This position is for a Scientist in Data Science and Applied or Mathematical Statistics who will provide scientific and technical research within the National Security Directorate (NSD) supporting the data analytics capabilities of the Computational Analytics Division. The Scientist will develop and apply fundamental mathematical or statistical theory to advance analytic solutions in various scientific domains. The Scientist must be able to draw from a strong statistical background, in areas including experimental design, advanced statistical modeling (e.g. mixed linear models, nonparametric models, etc.), machine learning, and computer simulations, to recognize patterns, characterize uncertainty, and develop predictive models using structured and unstructured data. The Scientist will produce solutions driven by domain science and mathematical statistical science from complex and high-dimensional datasets and design, develop, and evaluate advanced algorithms that lead to optimal value extraction from data. In addition to technical research this position expects participation and career development in task management, proposal writing, business development, and publishing.

Operating on the data-information-knowledge continuum, staff at PNNL employ diverse methods to confront significant problems of national interest from distilling distributed data into knowledge that supports decision processes to enabling resilient technologies that enhance computing at extreme scales. Our research portfolio spanning from basic to applied includes statistical modeling and experimental design, applied statistics, applied mathematics, machine learning, operations research, optimization, and other advanced statistical and mathematical domains.

Computing researchers and practitioners work side by side to apply advanced theories, methods, algorithms, models, evaluation tools and testbeds, and computational-based solutions to address complex scientific challenges affecting energy, biological sciences, the environment, and national security. Core domain knowledge is beneficial, such as in the nuclear, biological, energy, materials, or chemical science spaces.
*The hiring level will be determined based on the education, experience, and skill set of the successful candidate based on the following:**
*Level II** : Leads specific tasks of the project to meet scope, schedule and budget. Expected to contribute professionally, building a professional reputation for technical expertise. Fully applying and interpreting standard theories, principles, methods, tools and technologies. Contributes technical content to proposals and develops business through excellent project performance.
*Level III:** Manages small to moderate projects and/or major project tasks. Integrates intellectual and technical capabilities of work teams. Enhances technical/professional skills of junior staff through active mentoring and training. Generates ideas for new proposals and participates in business development activities
*Minimum Qualifications**
+ BS/BA with 2 years of experience, MS/MA with 0 years of experience, or PhD with 0 years of experience
*Preferred Qualifications**
+ BS/BA with 5 years of experience, MS/MA with 3 years of experience, or PhD with 1 year of experience, focused in statistics with experience involving increasing levels of scientific research, task management, and programmatic responsibility

+ Position requires ability to apply theories and develop technical approaches with minimal oversight

+ Position requires the ability to effectively team with scientists and engineers to develop creative solutions to complex problems
*Equal Employment Opportunity**
Battelle Memorial Institute (BMI) at Pacific Northwest National Laboratory (PNNL) is an Affirmative Action/Equal Opportunity Employer and supports diversity in the workplace. All employment decisions are made without regard to race, color, religion, sex, national origin, age, disability, veteran status, marital or family status, sexual orientation, gender identity, or genetic information. All BMI staff must be able to demonstrate the legal right to work in the United States. BMI is an E-Verify employer. Learn more at jobs.pnnl.gov.
*_Please be aware that the Department of Energy (DOE) prohibits DOE employees and contractors from participation in certain foreign government talent recruitment programs. If you are offered a position at PNNL and are currently a participant in a foreign government talent recruitment program you will be required to disclose this information before your first day of employment._**
*Other Information**
Due to business needs and client space, US Citizenship is required:

The Pacific Northwest National Laboratory is subject to the Department of Energy Unclassified Foreign Visits & Assignment Program site, information, technologies, and equipment access requirements.

_Directorate:_ _National Security_

_Job Category:_ _Scientists/Scientific Support_

_Group:_ _Appld Stats & Comp Modeling_

_Opening Date:_ _2020-06-03_

_Closing Date:_ _2020-09-01_",3.8,"PNNL
3.8","Richland, WA","Richland, WA",1001 to 5000 employees,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory"
7,Data Scientist,$64K-$106K (Glassdoor est.),"Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past nine consecutive years, 2010 2018. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for four consecutive years, 2014 through 2017, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.

What Youll Do/Need

The Data Scientist at Quicken Loans delves into the recesses of large data sets of structured, semi-structured and unstructured data to discover hidden knowledge about our business and to develop methods to leverage that knowledge within our line of business. The successful candidate combines strengths in mathematics and applied statics, computer science, visualization capabilities and a healthy sense of exploration and knowledge acquisition.

Responsibilities
Leverage your knowledge of programming, mathematics and computer science to transform the way our company does business
Translate business opportunities into data-driven machine learning, big data and modeling solutions that revamp our processes or produce data products
Develop and collect data for ad-hoc and statistical analyses
Identify methods that allow continuous and automated statistical testing to enhance the predictability of deployed models
Maintain relationships between business area clients, Business Intelligence and Technology so all teams are aligned to meet team objectives
Work with Project Managers to develop detailed project timelines
Summarize and present conclusions and solutions
Communicate complex analyses clearly to all audiences
Requirements
Masters degree or above in a STEM field, including but not limited to: computer science, statistics, applied mathematics, operations research, engineering, economics, social sciences, physics, chemistry
4 years of experience providing advanced analytics within a business setting
1 year of data science implementation experience within a business setting
Experience working with raw and missing data
Understanding of programming fundamentals
Understanding of statistics
Excellent communication skills
Whatll Make You Special
Experience with data visualization tools and time series
Working knowledge of relational databases and standard SQL query methods
Proficiency in at least one general programming language such as Python, Java or C/C++
Experience working with big data within a Hadoop environment
Experience working with R, SAS or other statistical packages
Advanced experience with statistical, econometric or data-mining tools and methods
Experience with linear models (linear regression, generalized linear regression, logistic regression), and nonlinear modeling techniques
Knowledge of advanced nonlinear techniques, including smoothing and ensemble methods
What Youll Get
Excellent benefits package that includes a 401(k) match, medical/dental/vision insurance and much more
Opportunities to participate in professional and personal development programs, including personal empowerment coaching, leadership training and ongoing personal growth training
Other incentives, contests and rewards, including trips, event tickets, cash prizes and more
Why We're Different

Corporate politics not your strong suit? The anti-corporate culture of Quicken Loans gives our team members the initiative to build solutions together and grow both personally and professionally. At Quicken Loans, were in the business of putting roofs over our clients heads, but we certainly arent putting ceilings on our team members careers. If youre interested in working in a place with a philosophy thats truly different, apply today.",3.9,"Quicken Loans
3.9","Detroit, MI","Detroit, MI",10000+ employees,1985,Company - Private,Lending,Finance,$10+ billion (USD),"Citi, Bank of America, Wells Fargo"
8,Principal Data Scientist (Computational Chemistry),$64K-$106K (Glassdoor est.),"At Recursion, we combine experimental biology, automation and artificial intelligence to quickly and efficiently identify treatments for human diseases. The Principal Data Scientist (Computational Chemistry) will identify and use computational chemistry methods, integrating them with machine learning and data science approaches to augment our AI platform, accelerate our current drug discovery programs, and lead towards the discovery of high value medicines.

THE PROBLEMS YOU'LL SOLVE

This is an individual contributor position reporting to the Director, Data Science, in which you'll help lead the expansion of Recursion's capabilities downstream of our high-throughput image-based phenotypic discovery platform. Specifically, you will collaborate with teams spanning data science, chemistry, and biology to apply ligand-based drug design techniques in the context of therapeutic project teams, and help guide methods development efforts in this area to complement a phenotypic-discovery-oriented process.

In this role you will:
Build. You will advance chemistry related R&D processes across Recursion's small molecule discovery programs by identifying and building computational tools to accelerate and automate them. You will apply the methods in hit to lead and lead optimization programs. In collaboration with chemistry, you will actively identify opportunities to contribute to Recursion's chemical space strategy, e.g. in evolving the screening library.
Guide, Create, and Question. Just because something has been done one way for decades doesn't mean it's optimal. You will bring new methods to bear while staying thoughtful about the value that exists from many tried and true approaches, and guide your peers in the implementation of a creative vision for computational chemistry in drug discovery.
Code. You are both a chemist and technologist at heart and won't be happy unless you are also writing code to be used throughout the organization.
THE EXPERIENCE YOU'LL NEED
Advanced degree in Computational Chemistry, Physical Organic Chemistry, Computer Science, Machine Learning, or relevant fields.
Experience in shaping and executing programs in computational medicinal chemistry and pharmacology as part of multidisciplinary teams.
Demonstrated contributions that changed the course of both active therapeutic candidate projects and longer-term research and development programs.
3+ years experience in developing ligand-based drug design methods, including pharmacophore modeling, QSAR, 3D-QSAR, and conformational analysis.
Experience in developing novel predictive models for DMPK/Tox in the context of active candidate programs is desirable.
Experience developing new methods and products in computational chemistry for virtual library assembly and screening
Experience in machine learning applied to chemistry, including both classical (e.g., matched-pairs and substructure analysis) and recent (e.g., representation learning and graph convolutional) methods.
Expertise programming in thePython data stack, including ML packages such as Scikit-Learn,PyTorch, and Tensorflow/Keras, in a Linux environment.
THE PERKS YOU'LL ENJOY
Coverage of health, vision, and dental insurance premiums (in most cases 100%)
401(k) with generous matching (immediate vesting)
Stock option grants
Two one-week paid company closures (summer and winter) in addition to flexible, generous vacation/sick leave
Commuter benefit and vehicle parking to ease your commute
Complimentary chef-prepared lunches and well-stocked snack bars
Generous paid parental leave (including adoptive)
Fully-paid gym membership to Metro Fitness, located just feet away from our new headquarters
Gleaming new 100,000 square foot headquarters complete with a 70-foot climbing wall, showers, lockers, and bike parking
WHAT WE DO

Recursion is reinventing the pharmaceutical industry's approach to drug discovery. Our unique platform combines the most advanced biology, high-throughput automation, and artificial intelligence to rapidly discover treatments for rare diseases, diverse immune and inflammatory diseases and new indications in the future.

Recursion is an equal opportunity employer and complies with all applicable federal, state, and local fair employment practices laws. Recursion strictly prohibits and does not tolerate discrimination against applicants because of race, color, religion, creed, national origin or ancestry, ethnicity, sex, pregnancy, gender (including gender nonconformity and status as a transgender individual), age, physical or mental disability, citizenship, past, current, or prospective service in the uniformed services, or any other characteristic protected under applicable federal, state, or local law.

Check out what it is like to work at Recursion: https://www.youtube.com/watch?v=UpOENLieOd8",4.7,"Recursion Pharmaceuticals
4.7","Salt Lake City, UT","Salt Lake City, UT",51 to 200 employees,2013,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1
9,"Data Scientist, Product Analytics",$64K-$106K (Glassdoor est.),"At Noom, we use scientifically proven methods to help our users create healthier lifestyles, and manage important conditions like Type-II Diabetes, Obesity, and Hypertension. Our Engineering team is at the forefront of this challenge, solving complex technical and UX problems on our mobile apps that center around habits, behavior, and lifestyle.

We are looking for a Data Scientist to join our Data team and help us ensure that we apply the best approaches to data analysis and research, artificial intelligence, and machine learning.

What You'll Like About Us:
We work on problems that affect the lives of real people. Our users depend on us to make positive changes to their health and their lives.
We base our work on scientifically-proven, peer-reviewed methodologies that are designed by medical professionals.
We are a data-driven company through and through.
We're a respectful, diverse, and dynamic environment in which Engineering is a first-class citizen, and where you'll be able to work on a variety of interesting problems that affect the lives of real people.
We offer a generous budget for personal development expenses like training courses, conferences, and books.
You'll get three weeks' paid vacation and a flexible work policy that is remote- and family-friendly (about 50% of our engineering team is fully remote). We worry about results, not time spent in seats.
What We'll Like About You:
You have 4+ years of experience as a Data Scientist or Data Analyst in a similarly-sized organization, with a proven record of analysis and research that positively impacts your team.
You possess excellent communication skills and the ability to clearly communicate technical concepts to a non-technical audience
You possess excellent SQL/relational algebra skills, ideally with at least a basic knowledge of how different types of databases (e.g.: column vs row storage) work.
You have a superior knowledge of statistical analysis methods, such as input selection, logistic and standard regression, etc.
You are comfortable writing Python code, and have good working knowledge of pandas and numpy. We don't expect you to write production-quality code, but you should have some programming experience.
You are comfortable with at least ""medium data"" technologies and how to transcend the ""memory bound"" nature of most analytics tools.",4.4,"Noom US
4.4","New York, NY","New York, NY",1001 to 5000 employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,-1
